"n" "d" "time_taken_logcondens" "time_taken_fulldim" "optflag" "hell_err_mean_logcondens" "hell_err_sd_logcondens" "hell_err_mean_fulldim" "hell_err_sd_fulldim"
"1" 100 2 0.0181524753570557 0.809498310089111 0 0.0368422396725637 0.00111971543540812 0.0216150499346076 0.000922256387300138
"2" 100 3 0.0350806713104248 1.65190696716309 0 0.0737633806183285 0.0015432570418044 0.0981492549791334 0.00198390778504233
"3" 100 4 0.0277049541473389 9.4196252822876 0 0.110917772963988 0.00208554669515083 0.204681378901469 0.00228305633518581
"4" 500 2 0.0368826389312744 12.5565071105957 0 0.00943577084566443 0.000548929891752841 0.0109643865492787 0.000555792958282874
"5" 500 3 0.0541675090789795 44.3869254589081 0 0.0194432894076718 0.000601336166776767 0.0440468649939882 0.00130880661969555
"6" 500 4 0.0552175045013428 3.23578669230143 0 0.0323031621237423 0.00264685196054262 0.0765449363850249 0.00166049789558677
"7" 1000 2 0.0539014339447021 1.11752149661382 0 0.00299085271269506 0.00022070955424811 0.00672448791104175 0.000496927928869961
"8" 1000 3 0.126102924346924 2.52118341525396 0 0.0143283748959723 0.000635646934353056 0.0254780235271396 0.00106861109955569
"9" 1000 4 0.10182785987854 14.2271759390831 0 0.0142192568832555 0.00059188854060172 0.0465693682030764 0.00133619350112406
"10" 2000 2 0.0850396156311035 9.70963467756907 0 0.00314927864586035 0.000258168541745425 0.00408859146003114 0.000332008916307611
"11" 2000 3 0.126430749893188 12.4634775042534 0 0.00603298202009286 0.000316901349387598 0.00896127531751622 0.000530915339845603
"12" 2000 4 0.162732601165771 1.1518654580911 0 0.00853608235566438 0.0004033441008896 0.0240847493009946 0.00090997091730866
