cell_name,annotation
147_108-0,Mesenchyme
147_109-0,Mesenchyme
147_110-0,Mesenchyme
147_111-0,Mesenchyme
147_112-0,Mesenchyme
147_113-0,Mesenchyme
147_114-0,Mesenchyme
147_115-0,Mesenchyme
147_116-0,Mesenchyme
147_117-0,Mesenchyme
147_118-0,Mesenchyme
147_119-0,Mesenchyme
147_120-0,Mesenchyme
147_121-0,Mesenchyme
147_122-0,Mesenchyme
148_100-0,Mesenchyme
148_101-0,Mesenchyme
148_102-0,Mesenchyme
148_103-0,Mesenchyme
148_104-0,Mesenchyme
148_105-0,Mesenchyme
148_106-0,Mesenchyme
148_107-0,Mesenchyme
148_108-0,Mesenchyme
148_109-0,Mesenchyme
148_110-0,Mesenchyme
148_111-0,Mesenchyme
148_112-0,Mesenchyme
148_113-0,Mesenchyme
148_114-0,Mesenchyme
148_115-0,Mesenchyme
148_116-0,Mesenchyme
148_117-0,Mesenchyme
148_118-0,Mesenchyme
148_119-0,Mesenchyme
148_120-0,Mesenchyme
148_121-0,Mesenchyme
148_122-0,Mesenchyme
148_124-0,Mesenchyme
148_125-0,Mesenchyme
148_126-0,Mesenchyme
148_127-0,Mesenchyme
148_128-0,Mesenchyme
148_129-0,Mesenchyme
148_97-0,Connective tissue
148_98-0,Connective tissue
148_99-0,Connective tissue
149_100-0,Connective tissue
149_101-0,Mesenchyme
149_102-0,Mesenchyme
149_103-0,Mesenchyme
149_104-0,Mesenchyme
149_105-0,Mesenchyme
149_106-0,Mesenchyme
149_107-0,Mesenchyme
149_108-0,Mesenchyme
149_109-0,Mesenchyme
149_110-0,Mesenchyme
149_111-0,Dermomyotome
149_112-0,Dermomyotome
149_113-0,Dermomyotome
149_114-0,Mesenchyme
149_115-0,Mesenchyme
149_116-0,Mesenchyme
149_117-0,Mesenchyme
149_118-0,Mesenchyme
149_119-0,Mesenchyme
149_120-0,Mesenchyme
149_121-0,Mesenchyme
149_122-0,Mesenchyme
149_124-0,Mesenchyme
149_125-0,Mesenchyme
149_126-0,Mesenchyme
149_127-0,Mesenchyme
149_128-0,Mesenchyme
149_129-0,Mesenchyme
149_130-0,Mesenchyme
149_131-0,Mesenchyme
149_132-0,Mesenchyme
149_94-0,Connective tissue
149_95-0,Connective tissue
149_96-0,Connective tissue
149_97-0,Connective tissue
149_98-0,Connective tissue
149_99-0,Connective tissue
150_100-0,Connective tissue
150_101-0,Connective tissue
150_102-0,Dermomyotome
150_103-0,Dermomyotome
150_104-0,Dermomyotome
150_105-0,Dermomyotome
150_106-0,Dermomyotome
150_107-0,Dermomyotome
150_108-0,Dermomyotome
150_109-0,Dermomyotome
150_110-0,Dermomyotome
150_111-0,Dermomyotome
150_112-0,Dermomyotome
150_113-0,Dermomyotome
150_114-0,Dermomyotome
150_115-0,Dermomyotome
150_116-0,Dermomyotome
150_117-0,Dermomyotome
150_118-0,Dermomyotome
150_119-0,Dermomyotome
150_120-0,Dermomyotome
150_121-0,Dermomyotome
150_122-0,Dermomyotome
150_123-0,Mesenchyme
150_124-0,Mesenchyme
150_125-0,Mesenchyme
150_126-0,Mesenchyme
150_127-0,Mesenchyme
150_128-0,Mesenchyme
150_129-0,Mesenchyme
150_130-0,Mesenchyme
150_131-0,Mesenchyme
150_132-0,Mesenchyme
150_133-0,Mesenchyme
150_134-0,Mesenchyme
150_93-0,Connective tissue
150_94-0,Connective tissue
150_95-0,Connective tissue
150_96-0,Connective tissue
150_97-0,Connective tissue
150_98-0,Connective tissue
150_99-0,Connective tissue
151_100-0,Dermomyotome
151_101-0,Dermomyotome
151_102-0,Dermomyotome
151_103-0,Dermomyotome
151_104-0,Dermomyotome
151_105-0,Dermomyotome
151_106-0,Dermomyotome
151_107-0,Dermomyotome
