cell_name,annotation
168_137-0,Brain
171_114-0,Heart
171_115-0,Heart
172_112-0,Heart
172_113-0,Heart
172_114-0,Heart
172_115-0,Heart
172_116-0,Heart
173_110-0,Heart
173_111-0,Heart
173_112-0,Heart
173_113-0,Heart
173_114-0,Heart
173_115-0,Heart
173_116-0,Heart
173_117-0,Heart
173_118-0,Heart
173_121-0,Heart
174_108-0,Heart
174_109-0,Heart
174_110-0,Heart
174_111-0,Heart
174_112-0,Heart
174_113-0,Heart
174_114-0,Heart
174_115-0,Heart
174_116-0,Heart
174_117-0,Heart
174_118-0,Heart
174_119-0,Heart
174_120-0,Heart
174_121-0,Heart
174_122-0,Heart
174_123-0,Heart
174_124-0,Heart
174_125-0,Heart
175_107-0,Heart
175_108-0,Heart
175_109-0,Heart
175_110-0,Heart
175_111-0,Heart
175_112-0,Heart
175_113-0,Heart
175_114-0,Heart
175_115-0,Heart
175_116-0,Heart
175_117-0,Heart
175_118-0,Heart
175_119-0,Heart
175_120-0,Heart
175_121-0,Heart
175_122-0,Heart
175_123-0,Heart
175_124-0,Heart
176_107-0,Heart
176_108-0,Heart
176_109-0,Heart
176_110-0,Heart
176_111-0,Heart
176_112-0,Heart
176_113-0,Heart
176_114-0,Heart
176_115-0,Heart
176_116-0,Heart
176_117-0,Heart
176_118-0,Heart
176_119-0,Heart
176_120-0,Heart
176_121-0,Heart
176_122-0,Heart
177_106-0,Heart
177_107-0,Heart
177_108-0,Heart
177_109-0,Heart
177_110-0,Heart
177_111-0,Heart
177_112-0,Heart
177_113-0,Heart
177_114-0,Heart
177_115-0,Heart
177_116-0,Heart
177_117-0,Heart
177_118-0,Heart
177_119-0,Heart
177_120-0,Heart
177_121-0,Heart
177_122-0,Heart
178_106-0,Heart
178_107-0,Heart
178_108-0,Heart
178_109-0,Heart
178_110-0,Heart
178_111-0,Heart
178_112-0,Heart
178_113-0,Heart
178_119-0,Heart
178_120-0,Heart
178_121-0,Heart
178_122-0,Heart
178_123-0,Heart
178_129-0,Heart
179_106-0,Heart
179_107-0,Heart
179_108-0,Heart
179_109-0,Heart
179_110-0,Heart
179_111-0,Heart
179_112-0,Heart
179_113-0,Heart
179_119-0,Heart
179_120-0,Heart
179_121-0,Heart
179_122-0,Heart
179_123-0,Heart
179_127-0,Heart
179_128-0,Heart
179_129-0,Heart
180_106-0,Heart
180_107-0,Heart
180_108-0,Heart
180_109-0,Heart
180_110-0,Heart
180_111-0,Heart
180_112-0,Heart
180_119-0,Heart
180_120-0,Heart
180_121-0,Heart
180_122-0,Heart
180_123-0,Heart
180_124-0,Heart
180_125-0,Heart
180_126-0,Heart
180_127-0,Heart
180_128-0,Heart
180_129-0,Heart
180_141-0,Neural crest
181_106-0,Heart
181_107-0,Heart
181_108-0,Heart
181_109-0,Heart
181_110-0,Heart
181_111-0,Heart
181_119-0,Heart
181_120-0,Heart
181_121-0,Heart
181_122-0,Heart
181_123-0,Heart
181_124-0,Heart
181_125-0,Heart
181_126-0,Heart
181_127-0,Heart
181_128-0,Heart
181_129-0,Heart
181_138-0,Neural crest
181_139-0,Neural crest
181_140-0,Neural crest
181_141-0,Neural crest
182_106-0,Heart
182_107-0,Heart
182_108-0,Heart
182_109-0,Heart
182_110-0,Heart
182_111-0,Heart
182_119-0,Heart
182_120-0,Heart
182_121-0,Heart
182_122-0,Heart
182_123-0,Heart
182_124-0,Heart
182_125-0,Heart
182_126-0,Heart
182_127-0,Heart
182_128-0,Heart
182_129-0,Heart
182_138-0,Neural crest
182_139-0,Neural crest
182_140-0,Neural crest
182_141-0,Neural crest
182_142-0,Neural crest
182_143-0,Neural crest
183_106-0,Heart
183_107-0,Heart
183_108-0,Heart
183_109-0,Heart
183_110-0,Heart
183_111-0,Heart
183_112-0,Heart
183_113-0,Heart
183_118-0,Heart
183_119-0,Heart
183_120-0,Heart
183_121-0,Heart
183_122-0,Heart
183_123-0,Heart
183_124-0,Heart
183_125-0,Heart
183_126-0,Heart
183_127-0,Heart
183_128-0,Heart
183_137-0,Neural crest
183_138-0,Neural crest
183_139-0,Neural crest
183_140-0,Neural crest
183_141-0,Neural crest
183_142-0,Neural crest
183_143-0,Neural crest
183_144-0,Neural crest
183_145-0,Neural crest
183_151-0,Neural crest
183_153-0,Neural crest
184_106-0,Heart
184_107-0,Heart
184_108-0,Heart
184_109-0,Heart
184_110-0,Heart
184_111-0,Heart
184_112-0,Heart
184_113-0,Heart
184_114-0,Heart
184_118-0,Heart
184_119-0,Heart
184_120-0,Heart
184_121-0,Heart
184_122-0,Heart
184_124-0,Heart
184_125-0,Heart
184_126-0,Heart
184_127-0,Heart
184_128-0,Heart
184_137-0,Neural crest
184_138-0,Neural crest
184_139-0,Neural crest
184_140-0,Neural crest
184_141-0,Neural crest
184_142-0,Neural crest
184_143-0,Neural crest
184_144-0,Neural crest
184_145-0,Neural crest
184_146-0,Neural crest
184_147-0,Neural crest
184_148-0,Neural crest
184_149-0,Neural crest
184_150-0,Neural crest
184_151-0,Neural crest
184_152-0,Neural crest
185_106-0,Heart
185_107-0,Heart
185_108-0,Heart
185_109-0,Heart
185_110-0,Heart
185_111-0,Heart
185_112-0,Heart
185_113-0,Heart
185_114-0,Heart
185_115-0,Heart
185_116-0,Heart
185_117-0,Heart
185_118-0,Heart
185_119-0,Heart
185_120-0,Heart
185_121-0,Heart
185_122-0,Heart
185_124-0,Heart
185_125-0,Heart
185_126-0,Heart
185_127-0,Heart
185_128-0,Heart
185_136-0,Neural crest
185_137-0,Neural crest
185_138-0,Neural crest
185_139-0,Neural crest
185_140-0,Neural crest
185_141-0,Neural crest
185_142-0,Neural crest
185_143-0,Neural crest
185_144-0,Neural crest
185_145-0,Neural crest
185_146-0,Neural crest
